Asset,Downside_Risk_Annual
CARERATING,0.23986913903683965
CCL,0.2431040311466438
CEATLTD,0.2513333349026411
CELEBRITY,0.46079005948055674
CEMPRO,0.3040614999569187
CENTENKA,0.26315948749695867
CENTRALBK,0.2947384549472106
CERA,0.22041846367397794
CESC,0.23774805884960198
CGPOWER,0.5113148852584188
CHENNPETRO,0.3094965728501952
CINELINE,0.43033289693868804
CIPLA,0.17333172875301422
COALINDIA,0.23210058653739704
COLPAL,0.1450438134152776
COMPUSOFT,0.33871363036993085
CONSOFINVT,0.32199094034698933
CORDSCABLE,0.36389296329738274
CPCAP,0.3025816545250992
CTE,0.3636107615066536
CUB,0.21510405553902343
CUMMINSIND,0.19986887935299052
CYBERTECH,0.34877626072224144
CYIENT,0.22903378529858837
DABUR,0.16282676124959727
DALMIASUG,0.33333042860248663
DBREALTY,0.4144245533019163
DCM,0.36874288194953936
DCMSHRIRAM,0.3089453119311947
DCW,0.34115364160982353
DECCANCE,0.27713228227383846
DELTAMAGNT,0.3835477299709376
DENORA,0.3411033014630973
DHAMPURSUG,0.34416576961103645
DHANBANK,0.28646340784186103
DHANUKA,0.22016071544260488
DIVISLAB,0.2205982173173196
DLF,0.34884007592940675
DLINKINDIA,0.3238805014731204
DONEAR,0.3469729207978088
DPSCLTD,0.3584957251581695
DREDGECORP,0.28222771563234417
DSSL,0.4164201819372983
DUCON,0.4665772063605924
DVL,0.29440558020195723
DWARKESH,0.355326018940158
DYNAMATECH,0.30037591934451197
ECLERX,0.2330842476083432
EDELWEISS,0.3269247973922081
EICHERMOT,0.21178963675033255
EIDPARRY,0.24182936282065962
EKC,0.3798494946093978
ELECTCAST,0.31742282562790197
ELGIEQUIP,0.23641979092988494
ELGIRUBCO,0.3335084619893077
EMAMILTD,0.21099471976074313
EMBDL,0.40311905083913013
EMKAY,0.3793832386019568
EMMBI,0.3138227660141784
ENGINERSIN,0.24417794103133258
EPL,0.2496001785739329
ESABINDIA,0.23844980983071265
ESCORTS,0.2810686604927011
ESSARSHPNG,0.3079012982519791
ESTER,0.3455537517184442
EVERESTIND,0.2870547910893662
EXCEL,2.4339900457169628
EXIDEIND,0.21016173676376443
FDC,0.21027044328130184
FEDERALBNK,0.26104079887762227
FELDVR,0.7676103909150138
FIEMIND,0.24604685905345633
FILATEX,0.3547389279247586
FINPIPE,0.22964774165915078
FLEXITUFF,0.34895778016476836
FMGOETZE,0.23026479827692056
FMNL,0.42306542252636137
FORTIS,0.2370180679158901
FOSECOIND,0.2031395458824321
GABRIEL,0.26524750218295373
GAEL,0.31591279340318706
GAIL,0.2374464391236359
GALLANTT,0.31667122667588665
GANDHITUBE,0.24745222457830193
GANESHHOU,0.34126469895555295
GARFIBRES,0.2426120147228235
GENESYS,0.3781919628447301
GENUSPOWER,0.3391466692302324
GFLLIMITED,0.6964258548926192
GHCL,0.2645359204777325
GICHSGFIN,0.26277800898017567
GILLANDERS,0.3162870781191998
GINNIFILA,0.38594612733928413
GIPCL,0.21048400766354183
GKWLIMITED,0.3082395568597813
GLAXO,0.1488277885077796
GLENMARK,0.2451715272457025
GLOBUSSPR,0.3262205113671641
GMBREW,0.3037670468752509
GMDCLTD,0.26282089470877174
GMRAIRPORT,0.31771418582866
GNFC,0.3551624503039543
GOCLCORP,0.29122712359269576
GODFRYPHLP,0.2668714673130812
GODREJCP,0.21063840765929967
GODREJIND,0.21499082559617588
GOKUL,0.40475495044304
GOLDIAM,0.3292411396166915
GPPL,0.2381147084805796
GRAPHITE,0.28507759787283454
GREAVESCOT,0.24825376884886177
GREENPOWER,0.3409739887356701
GRINDWELL,0.18777499487170934
GSFC,0.26798446776416474
GSPL,0.21845508494993632
GSS,0.38849230826667946
GTL,0.4897512861533135
GTLINFRA,0.5272540419557628
GUFICBIO,0.35559475657331463
GUJALKALI,0.25206697258940874
GUJGASLTD,0.22582524894175496
GULFPETRO,0.34765336513983847
GVKPIL,0.34831720540753064
GVPIL,0.2546619371347709
GVT&D,0.2668203099412727
HATHWAY,0.3087446321056364
HAVELLS,0.21762111339562545
HCC,0.38841123030478325
HCL-INSYS,0.3367629208271371
HCLTECH,0.19848297915444393
HDFCBANK,0.15990149783206034
HEIDELBERG,0.2513658903669591
HERITGFOOD,0.27611661498187967
HEROMOTOCO,0.20365771864008386
HEXATRADEX,0.361518999908395
HGM,0.3856479907050657
HIKAL,0.2696511840525237
HIMATSEIDE,0.3009032268772271
HINDALCO,0.2862015852570099
HINDCOMPOS,0.27367233265859936
HINDCOPPER,0.30523064094434077
HINDPETRO,0.3143014655430805
HINDUNILVR,0.1490199833310255
HINDZINC,0.23108684440532956
HITECHCORP,0.34350530623562087
HITECHGEAR,0.3111831117703835
HMVL,0.24401657636582347
HONDAPOWER,0.23439364418304198
HSCL,0.3394382691586425
HTMEDIA,0.2819144563182293
HUBTOWN,0.32439638448922725
HUHTAMAKI,0.2350377866501339
IBULLSLTD,0.42030547091211656
ICICIBANK,0.22649343401194
