Asset,Expected_Return_Annual
RKDL,-0.06057224378245119
RKFORGE,0.2173620654916367
ROHLTD,0.11853544721239531
ROSSELLIND,0.18052547092843152
RPGLIFE,0.18666842063635147
RPOWER,-0.20975741060573636
RPPINFRA,-0.016988539285587127
RSSOFTWARE,-0.0019939805370521543
RSWM,0.04923851321497154
RSYSTEMS,0.2604571485129762
RTNINDIA,0.1839617867304874
RUBYMILLS,0.03521780558132224
RUCHIRA,0.1858730316915378
RUPA,0.03471093106083422
SADBHAV,-0.1883895589398183
SAIL,-0.05169739016463888
SAKHTISUG,-0.0509686284367323
SAKSOFT,0.28026415166950713
SAKUMA,0.18407664218178263
SANDESH,0.09521364651172666
SANGAMIND,0.14494475200714171
SARDAEN,0.15188278917905107
SASKEN,0.16188269979653389
SASTASUNDR,0.14504223244945838
SCHAEFFLER,0.24436535683776142
SCI,0.013150216411078466
SEAMECLTD,0.17666791458713682
SEMAC,0.09029077690015261
SEPC,-0.20001209910752146
SESHAPAPER,0.14709818482011883
SGL,0.07826430533249512
SHAH,0.055516815747707664
SHAKTIPUMP,0.19333121384554075
SHALPAINTS,0.07829695609894419
SHILPAMED,0.08887791256438482
SHIVAMAUTO,0.06018044870722472
SHOPERSTOP,0.061701512279147296
SHREECEM,0.22523158466711451
SHREERAMA,0.04215431948410574
SHREYANIND,0.16649662355720257
SIEMENS,0.11501877223571493
SIGMAADV,-0.003080553388591343
SIMBHALS,-0.061233338004680275
SIMPLEXINF,-0.16457755941886668
SIYSIL,0.16300332688620084
SJVN,0.03742583313422466
SKFINDIA,0.17272374477406863
SMSPHARMA,0.10933069292076318
SOBHA,0.06065529618960505
SOLARINDS,0.2906074447594814
SOMANYCERA,0.22168984567504807
SONATSOFTW,0.29783510809297564
SOTL,0.08290869598523287
SOUTHBANK,-0.0053840313732488555
SPARC,0.08248051316315856
SPIC,0.10636589466848079
SPLIL,0.20437735621787284
SRF,0.30419428053442854
SRHHYPOLTD,0.18501585079977312
SSWL,0.15058053025422435
STAR,0.06036538535545205
STEL,0.19242817567102072
STERTOOLS,0.23394683749718942
STLTECH,0.12036322825439968
STYRENIX,0.06747551384407785
SUBEXLTD,-0.05902563608269324
SUBROS,0.19004426080449227
SUNDARAM,-0.15837476367171982
SUNDARMFIN,0.19376238211760913
SUNDRMBRAK,0.053287442346917575
SUNDRMFAST,0.25410908721166603
SUNDROP,0.08514389210739932
SUNFLAG,0.141061913902051
SUNPHARMA,0.1273767745083667
SUNTV,-1.9669309818431893e-05
SUPERSPIN,-0.0281821344417086
SUPRAJIT,0.2469014847895016
SUPREMEIND,0.24345445166074378
