,Expected_Return,Downside_Risk
GILLANDERS,-0.04645313261000629,0.3162870781191998
GINNIFILA,0.048991482293719225,0.38594612733928413
GIPCL,-0.011534245604625099,0.21048400766354183
GKWLIMITED,-0.006925524197134265,0.3082395568597813
GLAXO,0.016679194256006873,0.1488277885077796
GLENMARK,0.03671580481633964,0.2451715272457025
GLOBUSSPR,0.16230712033060887,0.3262205113671641
GMBREW,0.20375671581530788,0.3037670468752509
GMDCLTD,0.008458401952723425,0.26282089470877174
GMRAIRPORT,0.002483838091424986,0.31771418582866
GNFC,0.17570456090204523,0.3551624503039543
GOCLCORP,0.229174012838695,0.29122712359269576
GODFRYPHLP,0.13538241417904678,0.2668714673130812
GODREJCP,0.17325001217613892,0.21063840765929967
GODREJIND,0.07371641434118395,0.21499082559617588
GOKUL,-0.09217390838034802,0.40475495044304
GOLDIAM,0.2482570780902785,0.3292411396166915
GPPL,0.050590552653372194,0.2381147084805796
GRAPHITE,0.10027731568698668,0.28507759787283454
GREAVESCOT,0.031025712029234542,0.24825376884886177
GREENPOWER,-0.08295434205638065,0.3409739887356701
GRINDWELL,0.23726499200668436,0.18777499487170934
GSFC,0.04662343643542182,0.26798446776416474
GSPL,0.08752901702093266,0.21845508494993632
GSS,0.029742541384710466,0.38849230826667946
GTL,-0.36964117542695335,0.4897512861533135
GTLINFRA,-0.329313626501005,0.5272540419557628
GUFICBIO,0.29889328510008956,0.35559475657331463
GUJALKALI,0.14067479519696868,0.25206697258940874
GUJGASLTD,0.15449081983550597,0.22582524894175496
GULFPETRO,0.10214146484589157,0.34765336513983847
GVKPIL,-0.19172027688062893,0.34831720540753064
GVPIL,-0.13482298530399217,0.2546619371347709
GVT&D,-0.05401957536151169,0.2668203099412727
HATHWAY,-0.026123312570190592,0.3087446321056364
HAVELLS,0.24091695327424262,0.21762111339562545
HCC,-0.07244305200956383,0.38841123030478325
HCL-INSYS,-0.17375012512130023,0.3367629208271371
HCLTECH,0.1898560058417233,0.19848297915444393
HDFCBANK,0.1656242786208134,0.15990149783206034
HEIDELBERG,0.1329781889739453,0.2513658903669591
HERITGFOOD,0.15744965940772374,0.27611661498187967
HEROMOTOCO,0.039206551526161544,0.20365771864008386
HEXATRADEX,0.04171565520828394,0.361518999908395
HGM,-0.07944851373913225,0.3856479907050657
HIKAL,0.1718449983952515,0.2696511840525237
HIMATSEIDE,0.06669053096187925,0.3009032268772271
HINDALCO,0.05551447861463902,0.2862015852570099
HINDCOMPOS,0.03590000134617857,0.27367233265859936
HINDCOPPER,-0.09397358991051817,0.30523064094434077
HINDPETRO,0.10822361279300678,0.3143014655430805
HINDUNILVR,0.1840469210799601,0.1490199833310255
HINDZINC,0.0698257242354666,0.23108684440532956
HITECHCORP,0.06899075785279533,0.34350530623562087
HITECHGEAR,0.07148303504284928,0.3111831117703835
HMVL,-0.09201315835870418,0.24401657636582347
HONDAPOWER,0.14083507781836782,0.23439364418304198
HSCL,0.08171875227714007,0.3394382691586425
HTMEDIA,-0.17437325330076062,0.2819144563182293
HUBTOWN,-0.15397778164157663,0.32439638448922725
HUHTAMAKI,0.10956212027407189,0.2350377866501339
IBULLSLTD,0.04504627042562491,0.42030547091211656
ICICIBANK,0.12705248188447935,0.22649343401194
ICIL,0.31966595741282694,0.3901015420626183
ICRA,0.1246322863430355,0.17529728400156636
IDBI,-0.09312116125202473,0.30965240378872655
IFBAGRO,0.16587855893150924,0.3190132047741812
IFBIND,0.1607629675399309,0.31471816665555535
IFCI,-0.13784079317020925,0.3308460146622938
IGL,0.1655854562123181,0.238248687590658
IGPL,0.229177630586566,0.36986893041901103
IIFL,0.15017885447034887,0.38044260207450037
IITL,-0.05126830125067139,0.34965030122670715
IL&FSENGG,-0.22246221326359386,0.3636384662512417
IMFA,0.009740741464713844,0.32720577985269755
IMPAL,0.09527020280424206,0.20042667151304067
INDBANK,0.060219565545704394,0.36045775190401735
INDIACEM,0.060166298764198746,0.3156997952647856
INDIANB,0.015568319238336077,0.3030676250655283
INDORAMA,-0.0357843332070752,0.34540269300366067
INDOTECH,0.010739327607168917,0.3350805731197767
INDOWIND,-0.03724148946548689,0.39712605749535956
INDRAMEDCO,0.07210855158267368,0.2206759794636434
INDTERRAIN,0.0946616814142597,0.36575103937642467
INDUSINDBK,0.12435877095819002,0.2805173612217788
INFY,0.10998535939019538,0.20741191938268233
INGERRAND,0.14741197588374488,0.21602195466755397
INSECTICID,0.10366481197071692,0.25242026818953606
INVENTURE,-0.08446386312027532,0.4263073626889686
IOC,0.03964210182896753,0.25137469831650405
IRB,0.03419251887041088,0.35121729837483495
ISFT,0.04436340508878485,0.3659507116670715
ITC,0.10118425122442024,0.18208680630595145
ITI,0.08613209623280198,0.33373202422103687
IVC,-0.10185112226962595,0.30939486236197605
IZMO,0.14210053137328768,0.39067379147440334
J&KBANK,-0.04403950858543644,0.2955295617294303
